source_id,relation,target_id
softwareinstance:hrnet_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:liif_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:fpenet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:unified_conformer_wenet_pytorch,INSTANCE_OF,software:unified_conformer_wenet
softwareinstance:refinenet_pytorch,HAS_GUIDE,guide:refinenetreadme
softwareinstance:qwen15-7b_pytorch,TRAINED_ON,dataset:school_math
deploymentconfig:bi-v150_ixucasdk430,CONFIGURES_RUNTIME,runtime:ixucasdk430
softwareinstance:deepfm_paddlepaddle,TRAINED_ON,dataset:criteo_terabyte
software:rt-detr,DEVELOPED_BY,author:lyuwenyu
software:yi-6b,DEVELOPED_BY,author:01-ai
software:resnext50_32x4d,DEVELOPED_BY,author:osmr
softwareinstance:picodet_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:openpose_mindspore,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:yolact_pytorch,INSTANCE_OF,software:yolact
softwareinstance:enet_pytorch,INSTANCE_OF,software:enet
softwareinstance:swin_transformer_pytorch,USES_FRAMEWORK,framework:pytorch
software:hrnet,DEVELOPED_BY,author:paddlepaddle
softwareinstance:resnet50_tensorflow,USES_FRAMEWORK,framework:tensorflow
softwareinstance:autoassign_pytorch,USES_FRAMEWORK,framework:pytorch
software:llama2-13b,DEVELOPED_BY,author:microsoft
softwareinstance:co-detr_pytorch,TRAINED_ON,dataset:coco
softwareinstance:atss_mmdet_pytorch,HAS_GUIDE,guide:atss_mmdetreadme
softwareinstance:erfnet_pytorch,INSTANCE_OF,software:erfnet
softwareinstance:esrgan_pytorch,TRAINED_ON,dataset:div2k
softwareinstance:ssd_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk430
softwareinstance:mobileseg_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:ffm_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:pointpillars_pytorch,TRAINED_ON,dataset:kitti
softwareinstance:deep_sort_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
softwareinstance:espnet_pytorch,TRAINED_ON,dataset:coco
software:crnn,DEVELOPED_BY,author:paddlepaddle
softwareinstance:dbnetpp_pytorch,HAS_GUIDE,guide:dbnetppreadme
softwareinstance:qwen15-14b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:deepfm_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk230
softwareinstance:eca_resnet152_pytorch,HAS_GUIDE,guide:eca_resnet152readme
softwareinstance:vgg_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:yolov5-sample_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:swin_transformer_paddlepaddle,INSTANCE_OF,software:swin_transformer
software:convolutional_fairseq,DEVELOPED_BY,author:facebookresearch
software:densenet,DEVELOPED_BY,author:paddlepaddle
softwareinstance:centernet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:repvgg_paddlepaddle,INSTANCE_OF,software:repvgg
softwareinstance:cpm_pytorch,HAS_GUIDE,guide:cpmreadme
