id,label,name,source_url,extra/Type,extra/area,extra/Main-Task,software_id,framework_id,extra/Vendor,extra/release,hardware_id,runtime_id,extra/library
softwareinstance:hrnet_pytorch,SoftwareInstance,hrnet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/pose/hrnet/pytorch,,,,software:hrnet,framework:pytorch,,,,,
author:hrnet,Author,HRNet,https://github.com/HRNet,,,,,,,,,,
software:openpose,Software,openpose,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/pose/openpose,模型,CV,pose,,,,,,,
softwareinstance:openpose_mindspore,SoftwareInstance,openpose_Mindspore,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/pose/openpose/mindspore,,,,software:openpose,framework:mindspore,,,,,
guide:openposereadme,Guide,openpose README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/pose/openpose/mindspore/README.md,,,,,,,,,,
software:mae,Software,mae,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/self_supervised_learning/mae,模型,CV,self_supervised_learning,,,,,,,
softwareinstance:mae_pytorch,SoftwareInstance,mae_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/self_supervised_learning/mae/pytorch,,,,software:mae,framework:pytorch,,,,,
guide:maereadme,Guide,mae README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/self_supervised_learning/mae/pytorch/README.md,,,,,,,,,,
software:apcnet,Software,apcnet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/apcnet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:apcnet_pytorch,SoftwareInstance,apcnet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/apcnet/pytorch,,,,software:apcnet,framework:pytorch,,,,,
guide:apcnetreadme,Guide,apcnet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/apcnet/pytorch/README.md,,,,,,,,,,
software:att_unet,Software,att_unet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/att_unet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:att_unet_pytorch,SoftwareInstance,att_unet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/att_unet/pytorch,,,,software:att_unet,framework:pytorch,,,,,
guide:att_unetreadme,Guide,att_unet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/att_unet/pytorch/README.md,,,,,,,,,,
software:bisenet,Software,bisenet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/bisenet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:bisenet_pytorch,SoftwareInstance,bisenet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/bisenet/pytorch,,,,software:bisenet,framework:pytorch,,,,,
author:likely-journey,Author,LikeLy-Journey,https://github.com/LikeLy-Journey,,,,,,,,,,
guide:bisenetreadme,Guide,bisenet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/bisenet/pytorch/README.md,,,,,,,,,,
